City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,100,PF,10-3-2018,100,-23.12,-134.97,67.58,19.84
saint-philippe,90,CA,10-3-2018,93,45.36,-73.48,53.06,11.41
nyuksenitsa,92,RU,10-3-2018,97,60.41,44.24,44.9,13.02
avarua,40,CK,10-3-2018,53,-21.21,-159.78,73.4,17.22
tuktoyaktuk,90,CA,10-3-2018,92,69.44,-133.03,23.0,10.29
ukiah,40,US,10-3-2018,81,39.15,-123.21,66.02,1.95
novikovo,12,UA,10-3-2018,100,45.05,34.56,54.17,5.64
tasiilaq,92,GL,10-3-2018,59,65.61,-37.64,35.6,9.17
arman,0,RU,10-3-2018,40,59.7,150.17,53.6,8.95
salalah,0,OM,10-3-2018,56,17.01,54.1,71.6,4.7
araouane,0,ML,10-3-2018,36,18.9,-3.53,76.31,3.74
bambous virieux,40,MU,10-3-2018,82,-20.34,57.76,68.0,2.24
sawtell,0,AU,10-3-2018,60,-30.38,153.1,71.6,21.92
albany,90,US,10-3-2018,96,42.65,-73.75,66.02,4.7
souillac,90,FR,10-3-2018,82,45.6,-0.6,59.0,2.24
geraldton,90,CA,10-3-2018,87,49.72,-86.95,44.6,13.87
ushuaia,75,AR,10-3-2018,100,-54.81,-68.31,33.8,11.41
castro,80,CL,10-3-2018,86,-42.48,-73.76,43.82,4.97
mulege,8,MX,10-3-2018,77,26.88,-111.98,77.48,4.41
beyneu,0,KZ,10-3-2018,82,45.32,55.19,47.24,3.4
cape town,0,ZA,10-3-2018,54,-33.93,18.42,55.4,23.04
afua,88,NG,10-3-2018,97,5.27,7.87,73.43,2.73
tual,20,ID,10-3-2018,96,-5.67,132.75,81.62,12.12
fort nelson,75,CA,10-3-2018,55,58.81,-122.69,35.6,2.24
buraydah,0,SA,10-3-2018,40,26.33,43.97,68.0,3.36
kungurtug,76,RU,10-3-2018,60,50.6,97.53,45.44,4.18
shingu,75,JP,10-3-2018,64,33.72,135.99,73.4,4.7
luena,8,AO,10-3-2018,78,-11.78,19.91,59.21,2.39
namibe,12,AO,10-3-2018,100,-15.19,12.15,66.86,3.96
alice town,100,BS,10-3-2018,100,25.72,-79.3,83.24,19.62
torbay,20,CA,10-3-2018,86,47.66,-52.73,39.2,2.24
butaritari,0,KI,10-3-2018,100,3.07,172.79,84.95,5.08
kruisfontein,92,ZA,10-3-2018,83,-34.0,24.73,59.66,11.12
chokurdakh,36,RU,10-3-2018,98,70.62,147.9,36.08,6.98
iskateley,92,RU,10-3-2018,100,67.68,53.15,38.15,10.78
ponta do sol,68,BR,10-3-2018,85,-20.63,-46.0,65.87,2.51
hithadhoo,76,MV,10-3-2018,100,-0.6,73.08,80.36,21.18
hobart,20,AU,10-3-2018,44,-42.88,147.33,57.2,21.92
staraya poltavka,56,RU,10-3-2018,87,50.48,46.48,54.08,13.13
marawi,68,PH,10-3-2018,90,8.0,124.29,76.31,3.29
nantucket,75,US,10-3-2018,96,41.28,-70.1,68.0,13.87
new norfolk,20,AU,10-3-2018,44,-42.78,147.06,57.2,21.92
vaini,48,IN,10-3-2018,98,15.34,74.49,73.52,3.18
chuy,0,UY,10-3-2018,93,-33.69,-53.46,46.97,4.18
mount isa,0,AU,10-3-2018,18,-20.73,139.49,91.4,6.93
dourados,32,BR,10-3-2018,86,-22.22,-54.81,74.87,5.97
tyrma,0,RU,10-3-2018,63,50.04,132.17,50.48,7.2
hermanus,36,ZA,10-3-2018,85,-34.42,19.24,49.85,6.42
vila velha,40,BR,10-3-2018,74,-3.71,-38.6,78.8,17.22
gat,36,SN,10-3-2018,97,14.69,-16.54,75.59,2.95
provideniya,90,RU,10-3-2018,87,64.42,-173.23,50.0,22.37
lebu,0,ET,10-3-2018,86,8.96,38.73,42.11,3.18
saint-pierre,90,FR,10-3-2018,100,48.95,4.24,55.4,6.93
petropavlovsk-kamchatskiy,40,RU,10-3-2018,50,53.05,158.65,53.6,13.42
faanui,36,PF,10-3-2018,100,-16.48,-151.75,77.21,27.56
mataura,0,NZ,10-3-2018,69,-46.19,168.86,54.98,15.82
norman wells,40,CA,10-3-2018,95,65.28,-126.83,32.0,4.7
saint-joseph,0,FR,10-3-2018,71,43.56,6.97,59.0,4.7
talnakh,0,RU,10-3-2018,100,69.49,88.39,31.67,12.01
quang ngai,92,VN,10-3-2018,100,15.12,108.8,71.81,3.85
ulladulla,90,AU,10-3-2018,46,-35.36,150.48,71.6,19.46
touros,88,BR,10-3-2018,93,-5.2,-35.46,76.04,11.56
airai,36,TL,10-3-2018,47,-8.93,125.41,83.51,1.16
bredasdorp,80,ZA,10-3-2018,81,-34.53,20.04,44.6,2.24
puerto ayora,8,EC,10-3-2018,100,-0.74,-90.35,71.0,10.56
goundam,0,ML,10-3-2018,51,16.42,-3.66,78.29,6.2
